year,verified_count,avg_rating,rating_count,total_word_count
1996,,4.0,1,1.960597134E9
1998,,4.8,9,1.960597134E9
1999,41,4.2,419,1.960597134E9
2000,522,4.1,3756,1.960597134E9
2001,1259,4.0,6841,1.960597134E9
2002,1655,3.8,9118,1.960597134E9
2003,2538,3.8,12318,1.960597134E9
2004,3436,3.6,17617,1.960597134E9
2005,8776,3.7,33140,1.960597134E9
2006,17672,3.8,54392,1.960597134E9
2007,56500,4.0,125744,1.960597134E9
2008,78819,4.0,157531,1.960597134E9
2009,126468,4.0,209844,1.960597134E9
2010,245176,4.0,309254,1.960597134E9
2011,422871,4.0,513687,1.960597134E9
2012,685535,4.0,800684,1.960597134E9
2013,1573877,4.1,1714533,1.960597134E9
2014,2201727,4.1,2478806,1.960597134E9
2015,3202247,4.2,3407531,1.960597134E9
2016,3465089,4.2,3758899,1.960597134E9
2017,3501630,4.1,3793378,1.960597134E9
2018,3694969,4.1,3911866,1.960597134E9
2019,4746441,4.2,4967808,1.960597134E9
2020,5480571,4.1,5726687,1.960597134E9
2021,5177131,4.0,5435774,1.960597134E9
2022,4156662,3.9,4524433,1.960597134E9
2023,1695272,4.0,1912874,1.960597134E9
